"","species","n.occurrences"
"529","Glycydendron espiritosantense Kuhlm.",1
"530","Goniorrhachis marginata Taub.",11
"531","Griselinia ruscifolia (Clos) Taub.",1
"532","Guadua paniculata Munro",13
"533","Guadua tagoara (Nees) Kunth",3
"534","Guapira areolata (Heimerl) Lundell",7
"535","Guapira graciliflora (Mart. ex Schmidt) Lundell",25
"536","Guapira hirsuta (Choisy) Lundell",31
"537","Guapira obtusata (Jacq.) Little",2
"538","Guapira opposita (Vell.) Reitz",46
"539","Guapira pernambucensis (Casar.) Lundell",2
"540","Guapira tomentosa (Casar.) Lundell",4
"541","Guapira venosa (Choisy) Lundell",1
"542","Guarea blanchetii C.DC.",2
"543","Guarea guidonia (L.) Sleumer",24
"544","Guarea kunthiana A.Juss.",29
"545","Guarea macrophylla Vahl",37
"546","Guatteria australis A.St.-Hil.",30
"547","Guatteria campestris R.E.Fr.",15
"548","Guatteria candolleana Schltdl.",2
"549","Guatteria ferruginea A.St.-Hil.",2
"550","Guatteria macropus Mart.",15
"551","Guatteria pogonopus Mart.",16
"552","Guatteria pohliana Schltdl.",2
"553","Guatteria sellowiana Schltdl.",19
"554","Guatteria villosissima A.St.-Hil.",34
"555","Guazuma crinita Mart.",3
"556","Guazuma ulmifolia Lam.",9
"557","Guettarda pohliana Müll.Arg.",1
"558","Guettarda uruguensis Cham. & Schltdl.",2
"559","Guettarda viburnoides Cham. & Schltdl.",29
"560","Gymnanthes klotzschiana Müll.Arg.",14
"561","Gymnanthes schottiana Müll.Arg.",3
"562","Hamelia patens Jacq.",5
"563","Handroanthus albus (Cham.) Mattos",3
"564","Handroanthus bureavii (Sandwith) S.Grose",3
"565","Handroanthus chrysotrichus (Mart. ex DC.) Mattos",29
"566","Handroanthus heptaphyllus (Vell.) Mattos",6
"567","Handroanthus impetiginosus (Mart. ex DC.) Mattos",2
"568","Handroanthus ochraceus (Cham.) Mattos",5
"569","Handroanthus riodocensis (A.H.Gentry) S.Grose",9
"570","Handroanthus serratifolius (Vahl) S.Grose",34
"571","Handroanthus umbellatus (Sond.) Mattos",6
"572","Handroanthus vellosoi (Toledo) Mattos",15
"573","Hedyosmum brasiliense Mart. ex Miq.",8
